title,description,News Feed,Extraction Date,
Berlusconi begins community service,"Former Italian PM Silvio Berlusconi finishes the first day of a one-year community service term at a care home, after his conviction for tax fraud.",BBC,5/9/2014,
Berlusconi begins community service,Former Italian PM Silvio Berlusconi arrives at a care home near Milan to start a year of community service after his conviction for tax fraud.,BBC,5/9/2014,
Berlusconi begins community service,Former Italian PM Silvio Berlusconi is due to start a year of community service at a care home near Milan after his conviction for tax fraud.,BBC,5/9/2014,
Bowel disease A-to-Z guide launched,Patients with bowel disease are to be able to access an A-to-Z guide to help them find a specialist doctor.,BBC,5/9/2014,
'Boys never beat me at arm wrestling',"Meet the 15-year-old schoolgirl who dreams of Olympic gold from her world of chalk dust, leotards & bar-bending weights.",BBC,5/9/2014,
Call to rebuild manufacturing base,The former boss of Japanese electronics giant Sony says Welsh firms could win manufacturing back from Asia.,BBC,5/9/2014,
Cameron confirms strike reform plan,"A future Conservative government would introduce a threshold on union ballots for strike action, Prime Minister David Cameron says.",BBC,5/9/2014,
Cameron moots 'all-party TV debates',"TV debates ahead of the 2015 general election could include the leaders of ""all the parties"", David Cameron suggests.",BBC,5/9/2014,
Can a $7 gadget change the world?,The $7 gadget that wants to change the world,BBC,5/9/2014,
Canada 'sees little job growth',"The Canadian economy shed 29,000 jobs in April and has seen little overall employment growth since August, according to a new government report.",BBC,5/9/2014,
Canada to extradite on bride killing,"The mother and uncle of a Canadian woman killed 14 years ago have been ordered extradited to India in stand trial in her alleged ""honour killing"".",BBC,5/9/2014,
Chris Brown jail sentence extended,Singer Chris Brown will serve an additional 131 days in jail after admitting to violating his probation by getting into a fight last year.,BBC,5/9/2014,
Claudia Winkleman made Strictly host,"Claudia Winkleman is named the new permanent presenter of Strictly Come Dancing, replacing Sir Bruce Forsyth.",BBC,5/9/2014,
Clippers owner 'says he's no racist',"Los Angeles Clippers owner Donald Sterling says he is not a racist in another, unverified tape recording, in which he also says he won't sell the basketball team.",BBC,5/9/2014,
Clippers owner 'says he's no racist',"Los Angeles Clippers owner Donald Sterling has said he is ""not a racist"" and will not sell the professional basketball team, US media report.",BBC,5/9/2014,
Cook says ODI conditions 'borderline',"England captain Alastair Cook says conditions were ""borderline"" during their 39-run one-day victory over Scotland.",BBC,5/9/2014,
Co-op Group's bank stake set to fall,The Co-op Group is set to see its 30% stake in the Co-op Bank reduced further under a plan to raise £400m to shore-up the bank's finances.,BBC,5/9/2014,
Court orders Huhne to pay case costs,"Ex-minister Chris Huhne is ordered to pay £77,750 in costs for his prosecution for perverting the course of justice.",BBC,5/9/2014,
Damning police report published,"Ireland's police, a watchdog and the justice ministry fail to properly investigate claims of corruption and malpractice, a report finds.",BBC,5/9/2014,
Dating show man in murder confession,A contestant on a Turkish television dating show reveals he murdered his former wife and a former lover - and vows not to kill his next partner.,BBC,5/9/2014,
Day in pictures: 9 May 2014,News photos from past 24 hours: 9 May,BBC,5/9/2014,
Deal to combat piracy in UK imminent,"After years of wrangling, a deal between entertainment industry bodies and UK internet service providers to help combat piracy is imminent.",BBC,5/9/2014,
Democrats divided on Benghazi panel,"US House of Representatives Democrats are considering whether to participate in a Republican-led investigation into the deadly attack on the US consulate in Benghazi, Libya, in 2012.",BBC,5/9/2014,
Ecclestone trial hears from banker,A German banker who alleges he was bribed by Formula 1 boss Bernie Ecclestone testifies for the first time at his corruption trial.,BBC,5/9/2014,
El Nino to undo England's World Cup?,England's bid for World Cup glory in Brazil this summer could be undone by a much-feared weather phenomenon.,BBC,5/9/2014,
Emails reveal rift over school meals,"Officials warned that Nick Clegg was misleading the public over the cost of free school meals, leaked emails show.",BBC,5/9/2014,
England beat Scots in Moores' return,England comfortably beat Scotland in a rain-reduced one-day international to give Peter Moores a winning return as head coach.,BBC,5/9/2014,
England beat Scots in Moores's return,England comfortably beat Scotland in a rain-reduced one-day international to give Peter Moores a winning return as head coach.,BBC,5/9/2014,
England eye 2019 women's World Cup,England are understood to be one of five countries to express an interest in hosting the 2019 women's football World Cup.,BBC,5/9/2014,
Eurovision: Facts and figures,"Winners, losers, voters and viewers",BBC,5/9/2014,
Eurovision: The evolution of Eurovision,The evolution of the Eurovision Song Contest,BBC,5/9/2014,
Extreme fundraising: Is it worth it?,Should people risk life and limb for charity?,BBC,5/9/2014,
'Family arguing' in early death link,"Having frequent arguments with partners, friends or relatives can increase the risk of death in middle-age, say Danish researchers.",BBC,5/9/2014,
Family rows linked to early death,"Having frequent arguments with partners, friends or relatives can increase the risk of death in middle-age, say Danish researchers.",BBC,5/9/2014,
'Father killed' family in burnt home,"Police say a family found dead in burned Florida home were shot and killed by their father, who set the house on fire before killing himself.",BBC,5/9/2014,
Female soldiers on combat question,Four former military women on the gender question over combat roles,BBC,5/9/2014,
Ferry relatives protest in S Korea,Relatives of passengers aboard a ferry that sank last month try to make their way to South Korea's presidential office to demand a meeting.,BBC,5/9/2014,
Fire alarm takes BBC shows off air,BBC Breakfast and BBC Radio 5 live are temporarily evacuated following a fire alarm at the corporation's Salford headquarters.,BBC,5/9/2014,
Flaming lorry plunges from bridge,A driver escapes with minor injuries after his lorry plunges from a motorway bridge and bursts into flames in East Yorkshire.,BBC,5/9/2014,
France's WW2 letters that evaded the censors,The letters from wartime France that got past the censors,BBC,5/9/2014,
France's WW2 letters that evaded the censors,The letters which slipped past the censors from wartime France,BBC,5/9/2014,
Fraser-Pryce wins 100m in Doha opener,World champion Shelly-Ann Fraser-Pryce claims victory in the 100m at the season-opening Diamond League meeting in Doha.,BBC,5/9/2014,
Free school finances questioned,"Financial management of some free schools is inadequate, a report by a cross-party group Public Accounts Committee argues.",BBC,5/9/2014,
Friday's gossip column,"Barcelona rival Arsenal for Martinez, Liverpool make bid for Lallana, Inter want Torres and Cole wanted by Monaco.",BBC,5/9/2014,
GDP 'close to pre-crisis level',"The UK economy is close to regaining its pre-financial crisis size, according to research organisation NIESR.",BBC,5/9/2014,
Giggs to play for 'Class of 92' side,"Ryan Giggs is to play in a game alongside Manchester United 'Class of 92' team-mates Paul Scholes, Nicky Butt and the Nevilles.",BBC,5/9/2014,
Giro d'Italia bike race begins in NI,"The world's second-largest bike race, the Giro d'Italia, is due to begin in Belfast later on Friday and road closures will be in place in the city for much of the day.",BBC,5/9/2014,
Hall accuser 'not dreaming up rape',"A woman who alleges she was raped by ex-broadcaster Stuart Hall at the age of 12 tells his trial that she ""had not dreamt it up"".",BBC,5/9/2014,
Hamilton supreme in second practice,Lewis Hamilton sets a searing pace to head Mercedes team-mate Nico Rosberg in second practice at the Spanish GP.,BBC,5/9/2014,
Harris 'assaulted daughter's friend',"Entertainer Rolf Harris groomed and repeatedly molested a friend of his daughter, a prosecutor says, describing him as a ""Jekyll and Hyde"" character.",BBC,5/9/2014,
Harris jury to hear prosecution case,Entertainer Rolf Harris is in court accused of indecently assaulting four girls between 1968 and 1986 as the prosecution prepares to outline its case.,BBC,5/9/2014,
Heathrow congestion charge proposed,People travelling to Heathrow Airport by car could have to pay a congestion charge if the airport's proposed third runway is built.,BBC,5/9/2014,
Images of man after park sex attack,Police investigating a sex attack in Glasgow Green release CCTV images of a man they want to trace in connection with the attack.,BBC,5/9/2014,
In pictures: India election graffiti,Graffiti from the eastern Indian city of Calcutta,BBC,5/9/2014,
In the pink,Northern Ireland welcomes the world's second-largest cycle race.,BBC,5/9/2014,
In the pink,Northern Ireland welcomes the world's second-largest cycle race,BBC,5/9/2014,
Ireland out of Eurovision contest,Ireland fail to reach the final of the Eurovision Song Contest for the first time since 2009 while Austria's Conchita Wurst sails through to the event on Saturday.,BBC,5/9/2014,
'Killer robots' to be debated at UN,The use of killer robots will be debated for the first time at the United Nations Convention on Certain Conventional Weapons.,BBC,5/9/2014,
Leaders to hold key S Sudan talks,"South Sudan's president and main rebel leader are to meet for the first time since violence began in December, claiming thousands of lives.",BBC,5/9/2014,
Man arrested over flat fire death,A 44-year-old man is arrested in connection with a fire at a flat in north London in which a woman died.,BBC,5/9/2014,
Man jailed over NHS job applications,"A man who made 1,000 applications to get a job as an NHS doctor using false details is jailed for 15 months.",BBC,5/9/2014,
"Man, 55, charged with armed robbery",A 55-year-old man is charged with armed robbery while being unlawfully at large from an open prison in Kent.,BBC,5/9/2014,
"Man, 62, dies following flat fire",A 62-year-old man dies in hospital after being injured in a flat fire in Edinburgh's Wester Hailes.,BBC,5/9/2014,
Mansell's words incredible - Hamilton,"In his latest column for BBC Sport, Lewis Hamilton talks striving for perfection, driving his AC Cobra and Spanish F1 fans.",BBC,5/9/2014,
Martin crashes on Giro stage one,"Ireland's Dan Martin suffers a suspected broken collarbone as he crashes at the Giro d'Italia, which Svein Tuft leads.",BBC,5/9/2014,
Martin crashes out of Giro in stage one,Ireland's Dan Martin will miss the rest of the Giro d'Italia after crashing in the opening team time trial stage in Belfast.,BBC,5/9/2014,
Met 'should lose anti-terror duties',"MPs urge sweeping changes to counter-terrorism policing, including stripping the Metropolitan Police of its role in overseeing and leading investigations.",BBC,5/9/2014,
Miliband 'happy' to meet Pfizer boss,Labour leader Ed Miliband says he hopes to meet the US drugs firm next week to discuss its proposed bid for AstraZeneca.,BBC,5/9/2014,
Miliband offers Scotland 'contract',Ed Miliband promises to deliver new powers for the Scottish Parliament if Labour wins the 2015 UK general election.,BBC,5/9/2014,
Miliband turned down Pfizer meeting,Ed Miliband rejected a meeting with the boss of US drug firm Pfizer just days before he criticised the government's handling of its bid for AstraZeneca.,BBC,5/9/2014,
Morrissey biopic in development,The team behind the Oscar-nominated short film The Voorman Problem are making a film about the early life of former Smiths frontman Morrissey.,BBC,5/9/2014,
MPs raise concerns over tax powers,Plans to allow the tax authority to settle unpaid demands by taking money from people's bank accounts are criticised by MPs.,BBC,5/9/2014,
Multiple sclerosis find 'exciting',Research into mice and people with multiple sclerosis (MS) says a key difference in male and female brains may explain why more women get the disease than men.,BBC,5/9/2014,
National's outdoor venue sheds name,"A new name is being sought for The Shed, the National Theatre's temporary space which launched last year.",BBC,5/9/2014,
Nigeria 'ignored' school warning,"Nigeria's military had advance warning of an attack on the town where some 270 girls were kidnapped but failed to act, a rights group says.",BBC,5/9/2014,
Nigeria 'ignored' school warning,"Nigeria's military had advance warning of the attack on a school at which some 270 girls were kidnapped but failed to act, a rights group says.",BBC,5/9/2014,
Nigeria schoolgirl abductions: Five questions,... And four other questions about Nigeria's abducted schoolgirls,BBC,5/9/2014,
Noah beats Jacob as top US boys name,"Jacob has lost its spot as the most popular name for newborn American boys after 14 years, knocked from its place by Noah, the government says",BBC,5/9/2014,
One dead as quakes strike Pakistan,"At least one person has been killed and dozens more injured after a series of quakes hit southern Pakistan, officials say.",BBC,5/9/2014,
Opening stage of Giro d'Italia ends,"The opening stage of the Giro d'Italia, the world's second-largest bike race, ends in Belfast.",BBC,5/9/2014,
Oscar Knox dies after cancer battle,"Oscar Knox, the County Antrim boy whose brave battle against an aggressive form of cancer captured the hearts of many people in Northern Ireland, has died.",BBC,5/9/2014,
Overlooked Giggs 'not disappointed',Manchester United interim manager Ryan Giggs says he is not disappointed to have been overlooked for the role permanently.,BBC,5/9/2014,
Pistorius ballistics questioned,A ballistics expert at the murder trial of South African athlete Oscar Pistorius questions the state's version of how he shot his girlfriend.,BBC,5/9/2014,
PM: Scots vote 'not about my future',"David Cameron signals he would not quit as prime minister in the event of a ""Yes"" vote in the Scottish independence referendum.",BBC,5/9/2014,
Pressure mounts over US net rules,A group of more than 50 venture capitalists add their voice to growing opposition for US plans to change net-neutrality laws,BBC,5/9/2014,
'Provocative' Putin visit denounced,"The US and EU condemn the first visit by Russia's Vladimir Putin to annexed Crimea, as violence continues between troops and rebels in Ukraine.",BBC,5/9/2014,
Publisher in £360m refinancing plan,Newspaper and online publisher Johnston Press unveils a £360m refinancing plan in a bid to pay off debt and fund future growth.,BBC,5/9/2014,
Queen replaced by Charles at service,"The Queen stands down from part of her planned duties at the Order of the Bath service at Westminster Abbey, and is replaced by the Prince of Wales.",BBC,5/9/2014,
Queen replaced by Charles at service,"The Queen steps down from part of her planned duties at the Order of the Bath service at Westminster Abbey, and is replaced by the Prince of Wales.",BBC,5/9/2014,
RAF man 'posed with dead insurgent',Photographs emerge which appear to show at least one British serviceman posing with the dead body of a Taliban fighter in Afghanistan.,BBC,5/9/2014,
Rare disease screening for newborns,The heel-prick blood test will now also test for a number of rare conditions.,BBC,5/9/2014,
Rare disease screening for newborns,The number of conditions for which newborn babies in England are screened with a heel-prick blood test is to increase.,BBC,5/9/2014,
Rival leaders to hold S Sudan talks,"South Sudan's president and rebel leader are to meet for the first time since violence erupted in December, claiming thousands of lives.",BBC,5/9/2014,
Rodgers set for new Liverpool deal,"Liverpool manager Brendan Rodgers reveals that the ""framework"" of a new contract has been agreed with the club.",BBC,5/9/2014,
Rolf's letter and the Taliban pictures - the front pages,"The first day of the prosecution's case against entertainer Rolf Harris dominates Saturdays papers, with pictures allegedly taken of a dead insurgent also attracting attention.",BBC,5/9/2014,
Russia holds war parades amid crisis,"Thousands of Russian soldiers take part in an expanded military parade to mark the end of WW2, amid a surge of patriotism over the Crimea annexation.",BBC,5/9/2014,
Russia holds war parades amid crisis,Russia is poised to hold its annual Victory Day parade in Moscow's Red Square amid a surge of patriotism kindled by its annexation of Crimea.,BBC,5/9/2014,
Russia's Putin visits annexed Crimea,"Vladimir Putin marks Soviet WW2 anniversary in annexed Crimea, amid violence in Ukraine's Mariupol between pro-Russian separatists and troops.",BBC,5/9/2014,
Russia's Putin visits annexed Crimea,"Vladimir Putin marks the Soviet WW2 anniversary in annexed Crimea, amid violence in Ukraine's Mariupol between pro-Russian separatists and troops.",BBC,5/9/2014,
Scoutmaster admits 26 sex offences,A former scoutmaster admits 26 sex offences against boys during the 1960s and 1970s.,BBC,5/9/2014,
Self-healing plastic inspired by blood,"A new polymer that patches holes in itself has been designed, meaning your cracked phone screen could heal its own wounds.",BBC,5/9/2014,
Self-healing plastic mimics blood,"A new polymer that patches holes in itself has been designed, meaning your cracked phone screen could heal its own wounds.",BBC,5/9/2014,
'Skull Cracker' charged with robbery,"A man known as the ""Skull Cracker"" is charged with armed robbery while being unlawfully at large from an open prison in Kent.",BBC,5/9/2014,
'Skull Cracker' in court over raid,"A man known as the ""Skull Cracker"" appears in court accused of committing an armed robbery while being unlawfully at large from an open prison.",BBC,5/9/2014,
South Sudan rivals agree peace deal,"South Sudan's President Salva Kiir and rebel leader Riek Machar agree a peace deal in Addis Ababa, after five months of brutal conflict.",BBC,5/9/2014,
Strong growth in UK manufacturing,"UK manufacturing output grew by 1.4% in the first quarter, official figures show, the fastest quarterly growth rate since 1999.",BBC,5/9/2014,
Syria troops move into Homs Old City,Syrian government troops move into previously rebel-held areas of Homs - once a hub of the revolution - after the evacuation of rebel forces.,BBC,5/9/2014,
'Taxman's raid' - the front pages,The papers report concerns over plans to allow tax officials to access people's bank accounts to claim unpaid bills and to revive the England football team.,BBC,5/9/2014,
Teacher who smuggled drugs banned,"An art teacher who was jailed for smuggling ""highly damaging"" class A and B drugs is banned from the classroom.",BBC,5/9/2014,
Team Scotland 'possible' for Rio,An independent report concludes that there are 'no obvious barriers' to an independent Scotland competing at the 2016 Rio Olympics.,BBC,5/9/2014,
Tear gas fired at Thai protesters,"Police in Thailand fire tear gas at anti-government protesters in Bangkok, two days after a court ousted PM Yingluck Shinawatra.",BBC,5/9/2014,
Tests seek evidence of Syria torture,Experts on the use of chemicals for torture are to conduct tests on the body of a British surgeon who died in custody in Syria.,BBC,5/9/2014,
The cyclist who helped save Italy's Jews,The Italian sporting legend who hushed up his wartime heroism,BBC,5/9/2014,
The paradox of growing old,Mary Beard on the paradox of growing old in the modern world,BBC,5/9/2014,
The paradox of growing old,The paradox of growing old in the modern world,BBC,5/9/2014,
The town thronged with old people,Which UK town do old people flock to?,BBC,5/9/2014,
The used cars with no previous owner,The used cars with no previous owner,BBC,5/9/2014,
Trott taken to hospital after crash,Double Olympic track champion Laura Trott suffers suspected concussion after crashing during the women's Tour of Britain.,BBC,5/9/2014,
Two in hospital after flat fire,"Fire crews are tackling a blaze at a ground floor flat in Ynysybwl, near Pontypridd.",BBC,5/9/2014,
US politicians question Pfizer bid,US governors raise concerns about job losses in the US and senators threaten to close a tax loophole that Pfizer hopes to use.,BBC,5/9/2014,
"US, UK teams help Nigeria seek girls",Experts from the US and UK arrive in Nigeria to help find some 200 girls abducted by Boko Haram Islamist militants.,BBC,5/9/2014,
Uskmouth B power station to shut,"A coal-fired power station near Newport is to close, putting 83 jobs at risk.",BBC,5/9/2014,
Venezuelan policeman dies in clashes,"A policeman has been shot dead in the Venezuelan capital Caracas after security forces broke up protest camps, officials say.",BBC,5/9/2014,
VIDEO: Anti-social media?,The YouTube hit that says social media is ruining us,BBC,5/9/2014,
VIDEO: Anti-social media?,How a film lamenting social media went viral,BBC,5/9/2014,
VIDEO: Backstage at Eurovision with Molly,Behind the scenes at Eurovision with British entrant,BBC,5/9/2014,
VIDEO: Backstage at Eurovision with Molly,"The performer of Britain's entry in the Eurovision Song Contest, Molly Smitten-Downes, takes BBC News on a tour behind the scenes in Copenhagen.",BBC,5/9/2014,
VIDEO: 'Blood bath' in Mariupol,More than 20 people have been killed in the eastern Ukrainian city of Mariupol.,BBC,5/9/2014,
VIDEO: 'Blood bath' in Mariupol,At least seven people have been killed in the eastern Ukrainian city of Mariupol in fighting around police headquarters.,BBC,5/9/2014,
VIDEO: Cameron: Tories 'trust the people',"The Conservatives are the ""only party that trusts the people"" to make a decision on EU membership, David Cameron says.",BBC,5/9/2014,
VIDEO: Coma woman roused by wedding song,A mother-of-four has woken from a coma after hearing her wedding song.,BBC,5/9/2014,
VIDEO: Deadly gun battle on Mariupol streets,"At least 20 pro-Russian protesters have been killed in violence in the south of Ukraine, the country's Interior Minister has said.",BBC,5/9/2014,
VIDEO: Devastation in Homs filmed by BBC,"The BBC's Arabic service has visited the Old City of Homs in Syria, as government troops entered previously rebel-held areas of the city.",BBC,5/9/2014,
VIDEO: Film Review - the week's new films,"Film critic Mark Kermode reviews the week's film releases, including Frank, Next Goal Wins and The Wind Rises.",BBC,5/9/2014,
VIDEO: Floatels: Hotels for the open sea,How do you build a floating hotel that can withstand 100ft waves? The BBC's Sharanjit Leyl gets a tour of the technology behind the latest 'floatel'.,BBC,5/9/2014,
VIDEO: Giro d'Italia begins in Belfast,"It is one of Italy's biggest sporting events and this Friday, the Giro d'Italia cycle race gets under way in Northern Ireland.",BBC,5/9/2014,
VIDEO: Handling a heckler Obama style,US President Obama has been heckled during a Democratic National Committee fundraiser in California.,BBC,5/9/2014,
VIDEO: Ireland's Martin in horrible Giro crash,Ireland's Dan Martin's crashes on the opening team time trial stage in Belfast.,BBC,5/9/2014,
VIDEO: Major ad merger collapses,"Publicis and Omnicom, two of the world's biggest advertising firms, have scrapped their planned merger.",BBC,5/9/2014,
VIDEO: McCann search: Locals 'uneasy',"Permission has been granted to search an area of the town where Madeleine McCann vanished, Portuguese police say.",BBC,5/9/2014,
VIDEO: Medical gold beneath the waves?,Scientists are scouring the ocean floor looking for plants and marine creatures that could unlock a new generation of life-saving drugs.,BBC,5/9/2014,
VIDEO: Nigeria 'ignored' school warnings,There are growing international calls for the release of the kidnapped Nigerian schoolgirls.,BBC,5/9/2014,
VIDEO: 'No one better suited for a mud party',"Metallica drummer, Lars Ulrich, talks to Radio 1's Zane Lowe about headlining at Glastonbury.",BBC,5/9/2014,
VIDEO: Russian prince who became an anarchist,"Tom Hodgkinson of the Idler magazine champions the cause of Peter Kropotkin, a Russian prince who became an anarchist.",BBC,5/9/2014,
VIDEO: Tech review: This week's headlines,"The fridge, washing machine and cooker that can be controlled by text message, plus other tech news.",BBC,5/9/2014,
VIDEO: Three Queens gather for anniversary,"Three luxury ships have met in their home port of Southampton to mark the 10th anniversary of liner, Queen Mary 2.",BBC,5/9/2014,
VIDEO: Visitors brave tilting platform,A tilting viewing platform is offering visitors to a Chicago skyscraper an unusual view of the city's famous skyline.,BBC,5/9/2014,
Warm Texas wind blows green for Mars,Warm Texas wind blows green for Mars,BBC,5/9/2014,
'Wee Oscar' dies after cancer battle,"Oscar Knox, the County Antrim boy whose long battle against an aggressive form of cancer captured the hearts of many people in Northern Ireland, has died.",BBC,5/9/2014,
Week in pictures: 3-9 May 2014,Best news photos from around the world,BBC,5/9/2014,
Week in pictures: 3-9 May 2014,A selection of the best news photographs from around the world,BBC,5/9/2014,
Week in pictures: 3-9 May 2015,Best news photos from around the world,BBC,5/9/2014,
Weekendish: Mathematical adventures and aging,"A round-up of some of the best long and short reads, as well as video, from the BBC News website this week, with your extra comments.",BBC,5/9/2014,
Weekendish: Mathematical adventures and aging,Some of the best from the website this week,BBC,5/9/2014,
Wenger wants FFP rule-breakers banned,Arsenal boss Arsene Wenger says Uefa should exclude clubs that break financial fair play regulations from European competition.,BBC,5/9/2014,
What is the attraction of Beats headphones?,Apple is said to be in talks to buy headphone-maker Beats. What is the attraction of their £250 cans?,BBC,5/9/2014,
What is the attraction of Beats headphones?,What makes people spend big money on flashy headphones,BBC,5/9/2014,
Why Abu Hamza shed tears in court,Abu Hamza sheds tears in a New York courtroom,BBC,5/9/2014,
Whyte & Mackay brand sold for £430m,United Spirits (USL) says it has agreed to sell its Whyte & Mackay whisky business to a Philippine-based brandy producer for £430m.,BBC,5/9/2014,
Woman jailed over pensioner attack,"A woman is jailed for punching, kicking and spitting on an 80-year-old man, who died soon after the unprovoked and ""sickening"" attack.",BBC,5/9/2014,
Women's heart health fitness warning,"Lack of exercise is the biggest risk factor for heart disease in women aged 30 and above, according to an Australian study.",BBC,5/9/2014,
WW1 truce football match remembered,"Prince William backs a scheme to get children to design a memorial to the ""Christmas truce"" football game of 1914, as part of the World War One centenary.",BBC,5/9/2014,
 'If our faith costs us a TV show then so be it',"Twins David and Jason Benham lost their opportunity to host an HGTV show after a post about the pair labeled David Benham as an ""anti-gay, anti-choice extremist.""",CNN,5/9/2014,
"16-yr-old graduates college, then HS",Grace Bush is a 16-year-old Florida student that is getting her college degree before receiving her high school diploma.,CNN,5/9/2014,
Abducted girls,"U.S. military officials are expected to arrive in Nigeria on Friday to help in the search for hundreds of girls kidnapped by Islamist militants, the Pentagon said.",CNN,5/9/2014,
Amazing sports photos,Andrea Petkovic focuses on the tennis ball during her first-round match in the Madrid Open. She lost to Sara Errani in straight sets.,CNN,5/9/2014,
America invades virtual Denmark,"I once stayed at a youth hostel in Copenhagen called Sleep in Heaven. Which sounds quite pleasant until you realize that, apparently, heaven is cold and damp and completely infested with bedbugs.",CNN,5/9/2014,
American odyssey: 50 states in 31 years,"When my airplane touched down in Birmingham, Alabama, I could not stop grinning.",CNN,5/9/2014,
Americans wary of futuristic tech,Americans are generally excited about the new technology they expect to see in their lifetimes. But when confronted with some advances that already appear possible -- from skies filled with drones to meat made in a lab -- they get nervous.,CNN,5/9/2014,
Amnesty: Nigeria was warned,"The seven officials, who arrive Friday, will join advisers supporting local efforts to find the hundreds of girls abducted over three weeks ago, a Pentagon official says.",CNN,5/9/2014,
'Anti-gay' remarks cost twins a TV show,"Twin brothers David and Jason Benham have lost their opportunity to host their own HGTV show. The brothers ran afoul of the network after a post about the pair, labeling David Benham as an ""anti-gay, anti-choice extremist.""",CNN,5/9/2014,
Benham: 'We love homosexuals',David and Jason Benham discuss the decision HGTV made to cancel their upcoming show in light of their comments.,CNN,5/9/2014,
Boko Haram shot me in the face,"Ikenna Nzeribe was the sole survivor after assassins from Boko Haram stormed his Nigerian church in 2012, just 60 miles from where the jihadists last month abducted more than 200 girls.",CNN,5/9/2014,
Break it up! The best of on-air brawls,Talk shows gone wild ... check out the best brawls. CNN's Jeanne Moos reports on when furniture goes flying.,CNN,5/9/2014,
China,The Chinese air force has a new secret weapon: monkeys.,CNN,5/9/2014,
Chris Brown,"Singer Chris Brown admitted Friday to violating his probation by getting arrested in Washington, an admission his lawyer hopes will gain his freedom soon.",CNN,5/9/2014,
Chris Brown admits violating probation,Singer Chris Brown on Friday admitted to violating his probation and was ordered by a judge to serve one year in jail.,CNN,5/9/2014,
Circus resumes after accident,The show must go on... and it did.,CNN,5/9/2014,
Clippers announce new CEO,Former Time Warner and Citigroup Chairman Richard Parsons has been named the new CEO for the Los Angeles Clippers.,CNN,5/9/2014,
Crowds in Crimea cheer parades,Crowds packed the streets of Moscow and the Crimean city of Sevastopol on Friday for Victory Day parades in an annual show of nationalistic fervor heightened by Russia's recent annexation of Crimea from Ukraine.,CNN,5/9/2014,
David Benham: Gay 'agenda' demands silence ,"The brothers lost their HGTV show after a website published a post labeling David Benham as an ""anti-gay, anti-choice extremist."" But the brothers say their beef isn't with the network.",CNN,5/9/2014,
Defector saw Kim Jong Il as 'divine',"Jang Jin-Sung, a North Korea insider-turned-defector who knew Kim Jong Il, describes meeting the dictator.",CNN,5/9/2014,
Did Nigeria know girls were targets?,"The seven officials, who arrive Friday, will join advisers supporting local efforts to find the hundreds of girls abducted over three weeks ago, a Pentagon official says.",CNN,5/9/2014,
Did you do 'it' on your wedding night?,"Is the wedding night really all it's cracked up to be? Turns out that for many couples, there's more passing out than passion.",CNN,5/9/2014,
Diner says it caught ghost on camera,An Iowa restaurant says it might have caught a ghost on camera. Affiliate KWWL reports on the spooky shadow.,CNN,5/9/2014,
Donald Sterling,"In a yet another audio recording, Los Angeles Clippers owner Donald Sterling purportedly explains why he infamously told a woman not to bring black people to his games: He was jealous that she was with black men.",CNN,5/9/2014,
Drone pilot wins case against FAA,"Fearing that flocks of unmanned aircraft might soon traverse U.S. skies, the Federal Aviation Administration on Friday quickly appealed a judge's ruling that the agency does not have the authority to regulate commercial drones.",CNN,5/9/2014,
"Drone, jetliner nearly collide","A FAA official cautioned about the perils of small unmanned aircraft, saying a close call involving a drone and a US Airways plane could have been ""catastrophic.""",CNN,5/9/2014,
Drones banned from national parks,"If you're planning to enjoy this spring or summer at a national park, you'd better leave your drone at home.",CNN,5/9/2014,
'Duck Dynasty' star stands by beliefs ,"As season 5 of ""Duck Dynasty"" wraps up, co-star Willie Robertson is not backing down from either his faith or the controversy those beliefs helped stir.",CNN,5/9/2014,
E-mail says VA 'gaming the system',"An employee at a Wyoming VA clinic was placed on leave amid a widening scandal over the manipulation of appointments, VA boss Eric Shinseki said.",CNN,5/9/2014,
Ex-Time Warner chair named Clippers CEO,Former Time Warner and Citigroup Chairman Richard Parsons has been named the new CEO for the Los Angeles Clippers.,CNN,5/9/2014,
FAA official warns of dangers,"A FAA official cautioned about the perils of small unmanned aircraft, saying a close call involving a drone and US Airways plane could have been ""catastrophic.""",CNN,5/9/2014,
FedEx shooter: 'I'm in my happy place',"Geddy Kramer said he suffered from mental instability, frustration and depression.",CNN,5/9/2014,
Free speech has consequences,Free speech has consequences -- especially when business interests are involved.,CNN,5/9/2014,
Freed girls talk about attack,A few of the Nigerian girls who escaped the Boko Haram attack on their school are sharing details of what happened.,CNN,5/9/2014,
Gingrich: Hillary's Boko Haram problem,Newt Gingrich says Clinton's leadership as secretary of state regarding the Nigerian terrorist group Boko Haram is open to question.,CNN,5/9/2014,
He could be first hip-hop billionaire,"Apple reportedly buying hip-hop mogul, Dr. Dre's headphone company, Beats, for $3.2 billion. CNN's Jake Tapper reports.",CNN,5/9/2014,
His 'plantation-type' mentality,Former Clippers G.M. Elgin Baylor explains what he means when he said Donald Sterling had a 'plantation-type' mentality.,CNN,5/9/2014,
How do we track down the girls?,CNN's Erin Burnett talks to Retired General Carter Ham about U.S. response to Boko Haram in Nigeria.,CNN,5/9/2014,
Hunting down 'fiery serpent' disease,It's such a loser of a disease that some countries eradicated it without even knowing they'd had it. It can naturally disappear.,CNN,5/9/2014,
If you think you've seen it all ... ,"A ""serial pooper"" is on the loose in Houston. Police hope that surveillance footage will help them squeeze out a culprit.",CNN,5/9/2014,
